title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category,date_sold,agent_type,period_detailed,period,period_adoption
Drager Mindray M35500 Anesthesia D-Vapor Desflurane Vaporizer V.3.00 Certified,499.8,"Feb 18, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-02-18,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Aladin II Desflurane Cassette Vaporizer,150.0,"Apr 23, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-04-23,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Desflurane Vaporizer - Clean & Fully Functional!,40.0,"Apr 8, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-04-08,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
GE Datex Ohmeda Tec 6 Plus Desflurane Anesthesia Vaporizer 1107-9601-000,200.0,"Sep 17, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-09-17,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
GE Datex Ohmeda Tec 6 Desflurane Vaporizer,375.0,"Sep 1, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-09-01,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
"GE Datex Ohmeda Tec 6 Plus Anesthetic Vaporizer, Agent: Desflurane ~ 26761",427.49,"Apr 17, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-04-17,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Datex Ohmeda 1107-9601-000 Tec 6 Plus Desflurane Anesthesia Vaporizer Sold AS-IS,200.0,"Jul 17, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-07-17,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Draeger Medical D-Vapor DES Desflurane Vaporizer,228.65,"May 30, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-05-30,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
GE Datex Ohmeda Model Tec 6 Plus Desflurane Anesthesia Vaporizer ~ 26989,300.0,"Feb 2, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-02-02,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
"Drager Medical Desflurane Vaporizer D-Vapor Ref M35500-05, SW 2.03 ~ 31000",325.0,"Aug 23, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-08-23,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Mindray Drager D-Vapor Desflurane,250.0,"Sep 6, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-09-06,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Baxter Healthcare Drager Med D-Vapor S-2000 Desflurane Vaporizer M35500-32~32490,594.99,"May 10, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-05-10,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Desflurane Anesthesia Vaporizer Ref X1107-9601-000~32955,150.0,"Sep 17, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-09-17,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 plus Desflurane Vaporizer,25.0,"Jan 17, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-01-17,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,50.0,"Feb 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-02-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Mindray Drager Desflurane Vaporizer,125.0,"Mar 24, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-03-24,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Draeger Medical D-Vapor Desflurane Vaporizer,80.0,"Dec 21, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-12-21,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager D-Vapor 3000 M36700 Desflurane Vaporizer,375.0,"Mar 4, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-03-04,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,28.0,"May 13, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-05-13,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Drager Desflurane Anesthesia D-Vapor M35500-14 Sv 2.03 Vaporizor,100.0,"Aug 4, 2025",1,eBay (Terapeak),desflurane,vaporizer,2025-08-04,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,79.99,"Mar 4, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-03-04,Desflurane,5_Post-ban,Post-regulation,Post-adoption
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,28.0,"Jan 24, 2026",1,eBay (Terapeak),desflurane,vaporizer,2026-01-24,Desflurane,5_Post-ban,Post-regulation,Post-adoption
