title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category
Datex-Ohmeda Tec 6 Desflurane Vaporizer,245.99,"Aug 1, 2023",1,eBay (Terapeak),desflurane,vaporizer
Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,99.99,"Jul 25, 2023",1,eBay (Terapeak),desflurane,vaporizer
DATEX OHMEDA ALADIN II DESFLURANE CASSETTE VAPORIZER,374.99,"Jan 5, 2024",1,eBay (Terapeak),desflurane,vaporizer
DATEX OHMEDA ALADIN II DESFLURANE CASSETTE VAPORIZER,299.99,"Nov 8, 2023",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Aladin II Desflurane Cassette Vaporizer,75.0,"Jan 8, 2025",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Tec 6 Plus Desflurane Anaesthesia Vaporizer,675.0,"Feb 27, 2025",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000 TESTED WORKING,240.0,"May 21, 2024",2,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Tec 6 Vaporizer Desflurane,161.99,"Oct 3, 2024",1,eBay (Terapeak),desflurane,vaporizer
DATEX-OHMEDA TEC 6 PLUS DESFLURANE ANESTHESIA VAPORIZER,250.0,"Sep 1, 2025",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Tec-6 Plus Desflurane Anesthesia Vaporizer w/ Power Cord FREE SHIP,148.89,"Nov 4, 2025",1,eBay (Terapeak),desflurane,vaporizer
"Datex-Ohmeda 1100-3028-000 Bottle Adapter Key Sevoflurane Vaporizer, New",65.0,"Jun 25, 2024",23,eBay (Terapeak),sevoflurane,accessory
Datex Ohmeda GE Tec 7 Sevoflurane Vaporizer as pictured working nice unit,645.0,"Jan 7, 2026",6,eBay (Terapeak),sevoflurane,vaporizer
Drager Vaporizer Quik-Fil Adapter Sevo Fill Key Mindray 115-026747-00,63.5,"Aug 19, 2025",10,eBay (Terapeak),sevoflurane,accessory
Drager Fill Adapter For Sevoflurane Vaporizers - Vapor 2000 and more M36120,169.77,"Nov 28, 2024",5,eBay (Terapeak),sevoflurane,accessory
Sevoflurane Vapor 2000,1339.44,"Aug 27, 2025",9,eBay (Terapeak),sevoflurane,vaporizer
Drager D-Vapor 2000 Isoflurane Vaporizer,680.0,"Jun 20, 2025",3,eBay (Terapeak),sevoflurane,isoflurane
GE Tec 7 Sevoflurane Anesthesia Vapor Unit 5083,465.38,"Dec 26, 2024",4,eBay (Terapeak),sevoflurane,vaporizer
Drager Sevoflurane Vapor 2000 M35054 (2013) Not Tested- Bulk Deals Available,762.22,"Jun 14, 2023",9,eBay (Terapeak),sevoflurane,vaporizer
"Datex-Ohmeda 1100-3028-000 Bottle Adapter Key Sevoflurane Vaporizer, New",67.99,"Apr 16, 2024",4,eBay (Terapeak),sevoflurane,accessory
GE Datex Ohmeda TEC 7 Sevoflurane Vaporizer priced per unit 12621-01 Empty,287.0,"Apr 1, 2025",6,eBay (Terapeak),sevoflurane,vaporizer
商品ID 153964656080,2195.0,"Jan 21, 2025",3,eBay (Terapeak),sevoflurane,vaporizer
Datex Ohmeda GE Tec 7 Sevoflurane Vaporizer.,565.0,"Mar 10, 2026",4,eBay (Terapeak),sevoflurane,vaporizer
"Datex Ohmeda TEC 7 Sevoflurane Vaporizer, Sevo",900.0,"Jul 27, 2023",3,eBay (Terapeak),sevoflurane,vaporizer
"TESTED with drug!! Datex Ohmeda TEC 7 Sevoflurane Vaporizer, SEVO VAP",1133.33,"Feb 6, 2026",3,eBay (Terapeak),sevoflurane,vaporizer
商品ID 184144071792,2100.0,"Jul 9, 2024",4,eBay (Terapeak),sevoflurane,vaporizer
Datex-Ohmeda 1100-3007-000 Sevoflurane key filler for anesthesia vaporizer.,60.0,"Dec 15, 2024",3,eBay (Terapeak),sevoflurane,accessory
Datex-Ohmeda 1100-3028-000 Sevoflurane bottle fill adapter for vaporizer. GC,65.0,"Jul 31, 2025",5,eBay (Terapeak),sevoflurane,accessory
Tec 7 Sevoflurane Vaporizer BY Datex-Ohmeda-MAB-9396,498.57,"Jan 12, 2025",7,eBay (Terapeak),sevoflurane,vaporizer
Tec 7 Sevoflurane Vaporizer By Datex Ohmeda-MAB- 9531-32-35-36-37,466.67,"Sep 29, 2025",3,eBay (Terapeak),sevoflurane,vaporizer
GE Datex Ohmeda Tec 7 M1107626 Sevoflurane Anesthesia Vaporizer,565.0,"Jul 23, 2025",3,eBay (Terapeak),sevoflurane,vaporizer
商品ID 302386062777,108.12,"Nov 21, 2023",4,eBay (Terapeak),sevoflurane,unknown
"Datex-Ohmeda 1100-3028-000 bottle adapter for Sevoflurane vaporizers, used, GC.",75.0,"Jul 10, 2024",8,eBay (Terapeak),sevoflurane,accessory
Ohmeda TEC 7 Sevoflurane Anesthesia Vaporizer,550.0,"Apr 11, 2023",3,eBay (Terapeak),sevoflurane,vaporizer
Bottle Adapter Vaporizer Easy Fill Quick Fill Isoflurane Halothane Sevoflurane,83.48,"Mar 26, 2024",5,eBay (Terapeak),sevoflurane,accessory
Drager Vaporizer Fill Adapter Sevoflurane M35324,119.0,"Mar 18, 2026",2,eBay (Terapeak),sevoflurane,accessory
For Drager Vapor 2000 Sevoflurane Dosing Device Volatilization Tank Parts,112.92,"Sep 7, 2023",5,eBay (Terapeak),sevoflurane,parts
Datex Ohmeda Sevoflurane Vaporizer Key Fill Adapter,100.0,"Dec 19, 2023",3,eBay (Terapeak),sevoflurane,accessory
"Datex Ohmeda TEC 5 Sevoflurane Vaporizer Key Fill, sevo",782.5,"Jun 27, 2023",2,eBay (Terapeak),sevoflurane,vaporizer
For Drager Sevoflurane Vaporizers M36120,80.99,"Jul 27, 2024",3,eBay (Terapeak),sevoflurane,accessory
